customer_code,customer_name,Sales person,sales_person,Customer Map,Active?,market_group,region,sub_region,company_group,door_type,sheet_name,workbook_name,workbook_type,Region,Country,2025 Cluster,channel,2026 Cluster,budget_version
10016,FUTURETHIS CONSULTANCY (PTY) LTD.,,,Distributor - South Africa,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10018,qbeauty GmbH,,,Distributor - Austria,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10022,"Medicosmetic Group, LLC; Moskau",,,Distributor - Russia,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10024,Arek Dawidowski; Polen,,,Distributor - Poland,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10031,SpaTrend Wellness Kft; Hungary,,,Distributor - Hungary,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10034,Ben´s Daughters LTD; Albanien,,,Distributor - Albania,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10039,Spalanga; Litauen,,,Distributor - Lithuania,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10040,All time beauty; Estland,,,Distributor - Estonia,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10043,ETERNAL REVIVE (Jiessie); China;,,,Distributor - China,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10044,"PRIVÉ AESTHETICS, Qatar",,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10046,"Wellness Pot, Malaysia",,,Distributor - Malaysia,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10047,Thanassis Zachariadis; Greece,,,Distributor - Greece,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10049,Biokozmetika D.O.O.; Kroatien,,,Distributor - Croatia,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10052,Sapphire Limited_CRE03; inaktiv,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10053,Eurasia Cosmetics Co. Ltd.; Bangkok; Thailand,,,Distributor - Thailand,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10054,QMS Distributor Slovakia+Czechia s.r.o.; Slowakai,,,Distributor - Slowakia,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10058,Mweya Luxury FZCO; Dubai,,,Distributor - Middle East,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10061,LUXASIA PTE LTD.; Singapore; Interessent,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10062,PE Yegunova Anzhela; Ukraine,,,Distributor - Ukraine,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
28000,SISU; Orange Life; Mariele Leite; Portugal,,,Direct Customer,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35940,Thanos Hotels Ltd.-Almyra; Zypern,,,Direct Customer,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35945,Thanos Hotels Ltd.-Annabelle; Zypern,,,Direct Customer,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35952,Mandarin Oriental; Hong Kong,,,Direct Customer,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10042,Pure Glow Cosmetics Trading S.A.; Griechenland,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10050,OG Brands;Israel;Dana Zilberstein; Interessent,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
